Time,CCA
2018/10,5541.56
2018/11,5689.42
2018/12,5877.06
2019/01,
2019/02,5000.63
2019/03,5121.03
2019/04,5179.46
2019/05,5229.79
2019/06,5294.31
2019/07,5355.27
2019/08,5419.28
2019/09,5478.11
2019/10,5507.45
2019/11,5570.72
2019/12,5640.11
2020/01,
2020/02,4957.06
2020/03,5169.24
2020/04,5370.23
2020/05,5453.93
2020/06,5656.76
2020/07,5804.24
2020/08,5919.48
2020/09,6220.15
2020/10,6362.1
2020/11,6532.04
2020/12,6715.26
2021/01,
2021/02,5932.98
2021/03,6072.84
2021/04,6143.28
2021/05,6269.27
2021/06,6381.37
2021/07,6527.43
2021/08,6546.29
2021/09,6591.57
