Date,Australia,Fiji,China,India,UK,US
2000/01,23203,1936,2285,2270,5418,4109
2000/02,16546,1052,1485,1539,3023,3520
2000/03,19493,1350,1288,1104,3813,3319
2000/04,28882,2205,1645,1055,6891,5153
2000/05,21637,1758,1243,755,10609,5302
2000/06,26246,926,1369,630,16382,7087
2000/07,32920,991,1468,556,17193,8373
2000/08,29036,710,1389,645,14251,6827
2000/09,29040,1843,2119,796,13721,8383
2000/10,26465,2221,2297,1063,9485,6724
2000/11,23891,1790,2350,1224,6039,5235
2000/12,27388,1548,3998,2372,6755,6116
2001/01,27603,1536,3951,2771,5771,6022
2001/02,17299,865,2294,1428,3662,4431
2001/03,19058,812,1639,802,4043,4122
2001/04,26343,1463,1798,883,6894,5390
2001/05,21205,1385,1581,581,8984,5464
2001/06,24543,2565,1899,564,12576,7324
2001/07,29679,3045,1969,573,13959,8624
2001/08,26215,2839,1420,710,12527,7209
2001/09,30642,2653,1921,1063,12062,6962
2001/10,25180,2238,2202,1228,7825,5211
2001/11,20971,1457,2934,1492,4775,3903
2001/12,24997,1915,6054,2435,5591,5070
2002/01,25071,1863,5826,2512,4642,4919
2002/02,15035,1132,3554,1447,3127,3890
2002/03,19057,1311,1986,975,3755,3465
2002/04,22364,1717,2520,812,6065,4469
2002/05,19350,2091,2201,773,9200,5252
2002/06,23757,3050,2667,663,13154,7186
2002/07,28907,3041,2772,795,14243,7938
2002/08,27125,2945,2024,875,12811,6539
2002/09,28944,2786,2480,993,12276,6992
2002/10,25096,2373,2556,1165,8848,5988
2002/11,21233,1467,4679,1950,5109,4453
2002/12,23912,1772,9633,3032,5888,5805
2003/01,24048,1783,10347,2858,5202,5474
2003/02,14395,1090,5751,2023,2825,4470
2003/03,16839,1097,2592,1351,3174,4166
2003/04,22836,1801,2421,1144,5474,4765
2003/05,21063,1644,1677,804,8269,4848
2003/06,23784,2710,1681,906,12050,5843
2003/07,30593,3250,2450,1009,13903,7133
2003/08,27294,2923,2410,1026,12580,6831
2003/09,31420,3322,3103,1589,12370,7407
2003/10,26391,2555,3167,1857,8133,5868
2003/11,24502,1689,6421,2463,5098,4290
2003/12,27458,2096,13379,3938,6337,5520
2004/01,27433,1881,14102,3558,5311,5619
2004/02,17879,1072,6608,2309,2945,4404
2004/03,21619,1264,2965,1789,4056,4243
2004/04,29060,2395,3611,1657,7993,5390
2004/05,24080,2785,3116,1542,11317,5783
2004/06,27844,3687,4110,1384,15243,7706
2004/07,37285,4537,5351,1253,17115,9386
2004/08,34133,4411,3407,1303,14721,8172
2004/09,37561,4567,4402,1876,14269,8620
2004/10,30504,3124,4028,2194,8857,6656
2004/11,25771,2250,7129,3080,5292,4917
2004/12,30932,3064,14568,5246,6795,5811
2005/01,32275,3438,14678,5128,5893,5644
2005/02,21081,1671,9624,2826,3593,4407
2005/03,25385,1975,4343,1999,3883,4618
2005/04,30734,2637,4626,2104,7217,6271
2005/05,26707,2488,3807,1824,10571,7307
2005/06,30114,4048,4110,1552,14093,8348
2005/07,39683,5377,5467,1673,16970,10121
2005/08,37689,4388,3604,1251,14647,8132
2005/09,36382,4221,4898,1594,14358,8689
2005/10,36061,3839,4785,2118,9852,7161
2005/11,26044,2336,6420,3683,6763,4938
2005/12,31958,3094,11999,6638,7928,5984
2006/01,33151,3507,13828,5464,7171,6289
2006/02,20750,1826,8750,3201,3572,3905
2006/03,22359,1992,3944,1687,4349,3944
2006/04,31323,2786,4534,1670,7890,5659
2006/05,26046,2971,3547,1375,11587,6142
2006/06,29873,4028,4715,1315,16411,7770
2006/07,38739,5481,5421,1376,18537,9223
2006/08,33640,4356,3507,1519,16257,7554
2006/09,37059,4413,4611,2101,15402,8650
2006/10,33501,3236,5154,2985,10083,6951
2006/11,27734,1912,6597,3800,6321,4540
2006/12,31941,2433,10701,6852,7836,6161
2007/01,33468,2732,11149,7567,7526,6229
2007/02,20602,1442,8147,4133,4508,4192
2007/03,23576,1461,4350,2684,4493,4105
2007/04,31027,2699,4892,2533,7720,5903
2007/05,28781,2573,4324,2062,11566,6620
2007/06,32414,3701,5344,1776,17655,8462
2007/07,39793,4705,5680,1854,20888,9954
2007/08,36669,3629,5206,1927,17305,8203
2007/09,39818,3915,6181,2171,17015,8999
2007/10,35862,2819,6201,2753,11694,6983
2007/11,30334,1974,6467,4104,6184,5389
2007/12,33424,2937,11102,7446,7877,6189
2008/01,33282,3395,12549,7744,7027,6722
2008/02,21818,1893,9129,3967,3520,3959
2008/03,24946,1970,5120,2942,4241,3776
2008/04,29872,2592,5474,2271,7538,5807
2008/05,29969,2408,5092,2261,11841,6810
2008/06,32317,3707,4893,2024,16514,8564
2008/07,38955,5022,5312,2215,20376,10904
2008/08,35703,4095,4688,2075,17597,9185
2008/09,34810,3452,5142,2607,15956,9136
2008/10,36949,3343,6146,3253,10435,8230
2008/11,30045,2254,6938,4783,6305,5277
2008/12,34375,2625,11084,7479,7343,6040
2009/01,34374,2125,13046,7085,6443,5848
2009/02,21938,1262,8069,4197,3233,3992
2009/03,24904,1348,4755,3121,3976,3920
2009/04,32149,2315,5677,3286,7665,5674
2009/05,28590,2276,5410,2377,10571,6113
2009/06,29593,3406,5531,1921,14773,8010
2009/07,37437,4689,5890,2217,18537,9720
2009/08,35165,4057,4861,2121,15606,7653
2009/09,35123,3820,6033,2533,13918,7341
2009/10,35660,3161,7144,3415,8851,6443
2009/11,27942,2001,7341,4787,5011,4624
2009/12,32128,3148,11141,8170,7136,5204
2010/01,32871,3028,12369,7670,6070,4593
2010/02,21201,1251,9899,4801,2933,3413
2010/03,24527,1501,5471,2991,3967,3613
