year,fire
1860,1002.75
1861,1000.5
1862,998.99
1863,998.47
1864,998.92
1865,999.53
1866,999.82
1867,999.75
1868,999.78
1869,999.35
1870,999.14
1871,1000.89
1872,1002.68
1873,1002.63
1874,999.85
1875,998.39
1876,999.75
1877,998.88
1878,998.87
1879,999.02
1880,997.57
1881,998.3
1882,998.38
1883,999.88
1884,1001.26
1885,1000.63
1886,999.15
1887,998.76
1888,999.76
1889,1000.31
1890,1003.43
1891,1004.74
1892,1002.46
1893,1001.03
1894,1002.84
1895,1002.82
1896,1002.72
1897,1003.7
1898,1002.38
1899,1001.33
1900,1000.67
1901,1001.2
1902,1001.43
1903,1001.74
1904,1003.15
1905,1002.34
1906,999.14
1907,997.2
1908,996.96
1909,997.92
