DATE,DEXCHUS
2012/10/9,6.2877
2012/10/10,6.2831
2012/10/11,6.2765
2012/10/12,6.267
2012/10/15,6.27
2012/10/16,6.2637
2012/10/17,6.254
2012/10/18,6.2501
2012/10/19,6.2533
2012/10/22,6.2543
2012/10/23,6.2478
2012/10/24,6.2478
2012/10/25,6.2416
2012/10/26,6.248
2012/10/29,6.2384
2012/10/30,6.2396
2012/10/31,6.2372
2012/11/1,6.2393
2012/11/2,6.2411
2012/11/5,6.2452
2012/11/6,6.2454
2012/11/7,6.2435
2012/11/8,6.2427
2012/11/9,6.245
2012/11/12,NA
2012/11/13,6.226
2012/11/14,6.225
2012/11/15,6.2329
2012/11/16,6.2354
2012/11/19,6.2343
2012/11/20,6.2324
2012/11/21,6.23
2012/11/22,NA
2012/11/23,6.2275
2012/11/26,6.2253
2012/11/27,6.2221
2012/11/28,6.2273
2012/11/29,6.2281
2012/11/30,6.2265
2012/12/3,6.2277
2012/12/4,6.2254
2012/12/5,6.2251
2012/12/6,6.2282
2012/12/7,6.2299
2012/12/10,6.2296
2012/12/11,6.246
2012/12/12,6.2502
2012/12/13,6.2316
2012/12/14,6.241
2012/12/17,6.236
2012/12/18,6.2322
2012/12/19,6.2293
2012/12/20,6.2297
2012/12/21,6.2284
2012/12/24,6.2335
2012/12/25,NA
2012/12/26,6.2351
2012/12/27,6.2358
2012/12/28,6.2315
2012/12/31,6.2301
2013/1/1,NA
2013/1/2,6.2301
2013/1/3,6.2301
2013/1/4,6.2303
2013/1/7,6.2294
2013/1/8,6.2235
2013/1/9,6.226
2013/1/10,6.223
2013/1/11,6.2156
2013/1/14,6.219
2013/1/15,6.2134
2013/1/16,6.216
2013/1/17,6.2158
2013/1/18,6.2152
2013/1/21,NA
2013/1/22,6.2196
2013/1/23,6.2178
2013/1/24,6.2179
2013/1/25,6.2203
2013/1/28,6.224
2013/1/29,6.2259
2013/1/30,6.2204
2013/1/31,6.2186
2013/2/1,6.2265
2013/2/4,6.2326
2013/2/5,6.2292
2013/2/6,6.2315
2013/2/7,6.2323
2013/2/8,6.2323
2013/2/11,6.2323
2013/2/12,6.2323
2013/2/13,6.2323
2013/2/14,6.2323
2013/2/15,6.2323
2013/2/18,NA
2013/2/19,6.2438
2013/2/20,6.2371
2013/2/21,6.2403
2013/2/22,6.2346
2013/2/25,6.2337
2013/2/26,6.2293
2013/2/27,6.2271
2013/2/28,6.2213
2013/3/1,6.2226
2013/3/4,6.2246
2013/3/5,6.2208
2013/3/6,6.2173
2013/3/7,6.22
2013/3/8,6.2145
2013/3/11,6.2179
2013/3/12,6.216
2013/3/13,6.2137
2013/3/14,6.2145
2013/3/15,6.2133
2013/3/18,6.2156
2013/3/19,6.2154
2013/3/20,6.2117
2013/3/21,6.2141
2013/3/22,6.212
2013/3/25,6.2105
2013/3/26,6.2108
2013/3/27,6.2138
2013/3/28,6.2143
2013/3/29,6.2108
2013/4/1,6.2078
2013/4/2,6.1992
2013/4/3,6.1962
2013/4/4,6.2005
2013/4/5,6.2005
2013/4/8,6.2031
2013/4/9,6.2022
2013/4/10,6.1938
2013/4/11,6.1961
2013/4/12,6.1914
2013/4/15,6.1866
2013/4/16,6.1824
2013/4/17,6.172
2013/4/18,6.1811
2013/4/19,6.1772
2013/4/22,6.1823
2013/4/23,6.179
2013/4/24,6.1782
2013/4/25,6.1707
2013/4/26,6.1647
2013/4/29,6.1647
2013/4/30,6.1647
2013/5/1,6.1647
2013/5/2,6.156
2013/5/3,6.1555
2013/5/6,6.1665
2013/5/7,6.1539
2013/5/8,6.141
2013/5/9,6.1306
2013/5/10,6.1415
2013/5/13,6.1465
2013/5/14,6.1426
2013/5/15,6.1454
2013/5/16,6.1487
2013/5/17,6.141
2013/5/20,6.1386
2013/5/21,6.1353
2013/5/22,6.1309
2013/5/23,6.1337
2013/5/24,6.1311
2013/5/27,NA
2013/5/28,6.1213
2013/5/29,6.1264
2013/5/30,6.1307
2013/5/31,6.134
2013/6/3,6.1312
2013/6/4,6.1285
2013/6/5,6.1276
2013/6/6,6.1359
2013/6/7,6.1333
2013/6/10,6.1333
2013/6/11,6.1333
2013/6/12,6.1333
2013/6/13,6.1341
2013/6/14,6.1306
2013/6/17,6.1248
2013/6/18,6.1283
2013/6/19,6.1264
2013/6/20,6.1277
2013/6/21,6.1328
2013/6/24,6.1441
2013/6/25,6.1448
2013/6/26,6.1468
2013/6/27,6.1488
2013/6/28,6.1374
2013/7/1,6.1325
2013/7/2,6.1327
2013/7/3,6.1301
2013/7/4,NA
2013/7/5,6.1324
2013/7/8,6.1337
2013/7/9,6.1293
2013/7/10,6.1336
2013/7/11,6.135
2013/7/12,6.1373
2013/7/15,6.1373
2013/7/16,6.1345
2013/7/17,6.1351
2013/7/18,6.1408
2013/7/19,6.1377
2013/7/22,6.1404
2013/7/23,6.1369
2013/7/24,6.1358
2013/7/25,6.1346
2013/7/26,6.1316
2013/7/29,6.1323
2013/7/30,6.1315
2013/7/31,6.1284
2013/8/1,6.1302
2013/8/2,6.1293
2013/8/5,6.1245
2013/8/6,6.1215
2013/8/7,6.119
2013/8/8,6.1207
2013/8/9,6.1217
2013/8/12,6.1218
2013/8/13,6.1217
2013/8/14,6.1191
2013/8/15,6.1123
2013/8/16,6.1145
2013/8/19,6.1227
2013/8/20,6.1241
2013/8/21,6.1229
2013/8/22,6.1206
2013/8/23,6.12
2013/8/26,6.1202
2013/8/27,6.1212
2013/8/28,6.1202
2013/8/29,6.1203
2013/8/30,6.1193
2013/9/2,NA
2013/9/3,6.1204
2013/9/4,6.1199
2013/9/5,6.1194
2013/9/6,6.1202
2013/9/9,6.1209
2013/9/10,6.1195
2013/9/11,6.1183
2013/9/12,6.1178
2013/9/13,6.1186
2013/9/16,6.1198
2013/9/17,6.1213
2013/9/18,6.121
2013/9/19,6.121
2013/9/20,6.121
2013/9/23,6.1201
2013/9/24,6.1208
2013/9/25,6.119
2013/9/26,6.1194
2013/9/27,6.1179
2013/9/30,6.12
2013/10/1,6.12
2013/10/2,6.12
2013/10/3,6.12
2013/10/4,6.12
2013/10/7,6.12
2013/10/8,6.1206
2013/10/9,6.1209
2013/10/10,6.1156
2013/10/11,6.1204
2013/10/14,NA
2013/10/15,6.1026
2013/10/16,6.0996
2013/10/17,6.098
2013/10/18,6.0966
2013/10/21,6.0924
2013/10/22,6.0925
2013/10/23,6.0833
2013/10/24,6.0815
2013/10/25,6.0838
2013/10/28,6.0853
2013/10/29,6.0897
2013/10/30,6.0936
2013/10/31,6.0943
2013/11/1,6.0993
2013/11/4,6.098
2013/11/5,6.0966
2013/11/6,6.0925
2013/11/7,6.0906
2013/11/8,6.0903
2013/11/11,NA
2013/11/12,6.0917
2013/11/13,6.0926
2013/11/14,6.092
2013/11/15,6.092
2013/11/18,6.0918
2013/11/19,6.0924
2013/11/20,6.0925
2013/11/21,6.0914
2013/11/22,6.0935
2013/11/25,6.0916
2013/11/26,6.0925
2013/11/27,6.0922
2013/11/28,NA
2013/11/29,6.0922
2013/12/2,6.0927
2013/12/3,6.0914
2013/12/4,6.0913
2013/12/5,6.0903
2013/12/6,6.0815
2013/12/9,6.0643
2013/12/10,6.0705
2013/12/11,6.0712
2013/12/12,6.071
2013/12/13,6.071
2013/12/16,6.0713
2013/12/17,6.0707
2013/12/18,6.0713
2013/12/19,6.0711
2013/12/20,6.0711
2013/12/23,6.0697
2013/12/24,6.0712
2013/12/25,NA
2013/12/26,6.0744
2013/12/27,6.0684
2013/12/30,6.0617
2013/12/31,6.0537
2014/1/1,NA
2014/1/2,6.0504
2014/1/3,6.0505
2014/1/6,6.0524
2014/1/7,6.0507
2014/1/8,6.051
2014/1/9,6.054
2014/1/10,6.0519
2014/1/13,6.0432
2014/1/14,6.0402
2014/1/15,6.0459
2014/1/16,6.0555
2014/1/17,6.05
2014/1/20,NA
2014/1/21,6.0503
2014/1/22,6.0508
2014/1/23,6.0515
2014/1/24,6.0486
2014/1/27,6.0478
2014/1/28,6.0506
2014/1/29,6.0554
2014/1/30,6.06
2014/1/31,6.059
2014/2/3,6.06
2014/2/4,6.06
2014/2/5,6.06
2014/2/6,6.06
2014/2/7,6.0629
2014/2/10,6.0591
2014/2/11,6.0601
2014/2/12,6.0614
2014/2/13,6.0631
2014/2/14,6.0666
2014/2/17,NA
2014/2/18,6.0671
2014/2/19,6.0762
2014/2/20,6.0832
2014/2/21,6.0912
2014/2/24,6.0982
2014/2/25,6.1243
2014/2/26,6.1243
2014/2/27,6.1279
2014/2/28,6.1448
2014/3/3,6.146
2014/3/4,6.143
2014/3/5,6.128
2014/3/6,6.1183
2014/3/7,6.1258
2014/3/10,6.1383
2014/3/11,6.1397
2014/3/12,6.1448
2014/3/13,6.1359
2014/3/14,6.15
2014/3/17,6.1779
2014/3/18,6.1918
2014/3/19,6.1934
2014/3/20,6.2273
2014/3/21,6.2248
2014/3/24,6.1956
