date,rate
2016/8/3,1.55
2016/8/4,1.51
2016/8/5,1.59
2016/8/8,1.59
2016/8/9,1.55
2016/8/10,1.5
2016/8/11,1.57
2016/8/12,1.51
2016/8/15,1.55
2016/8/16,1.57
2016/8/17,1.56
2016/8/18,1.53
2016/8/19,1.58
2016/8/22,1.55
2016/8/23,1.55
2016/8/24,1.56
2016/8/25,1.58
2016/8/26,1.62
2016/8/29,1.57
2016/8/30,1.57
2016/8/31,1.58
2016/9/1,1.57
2016/9/2,1.6
2016/9/5,NA
2016/9/6,1.55
2016/9/7,1.54
2016/9/8,1.61
2016/9/9,1.67
2016/9/12,1.68
2016/9/13,1.73
2016/9/14,1.7
2016/9/15,1.71
2016/9/16,1.7
2016/9/19,1.7
2016/9/20,1.69
2016/9/21,1.66
2016/9/22,1.63
2016/9/23,1.62
2016/9/26,1.59
2016/9/27,1.56
2016/9/28,1.57
2016/9/29,1.56
2016/9/30,1.6
2016/10/3,1.63
2016/10/4,1.69
2016/10/5,1.72
2016/10/6,1.75
2016/10/7,1.73
2016/10/10,NA
2016/10/11,1.77
2016/10/12,1.79
2016/10/13,1.75
2016/10/14,1.8
2016/10/17,1.77
2016/10/18,1.75
2016/10/19,1.76
2016/10/20,1.76
2016/10/21,1.74
2016/10/24,1.77
2016/10/25,1.77
2016/10/26,1.79
2016/10/27,1.85
2016/10/28,1.86
2016/10/31,1.84
2016/11/1,1.83
2016/11/2,1.81
2016/11/3,1.82
2016/11/4,1.79
2016/11/7,1.83
2016/11/8,1.88
2016/11/9,2.07
2016/11/10,2.15
2016/11/11,NA
2016/11/14,2.23
2016/11/15,2.23
2016/11/16,2.22
2016/11/17,2.29
2016/11/18,2.34
2016/11/21,2.33
2016/11/22,2.31
2016/11/23,2.36
2016/11/24,NA
2016/11/25,2.36
2016/11/28,2.32
2016/11/29,2.3
2016/11/30,2.37
2016/12/1,2.45
2016/12/2,2.4
2016/12/5,2.39
2016/12/6,2.39
2016/12/7,2.34
2016/12/8,2.4
2016/12/9,2.47
2016/12/12,2.49
2016/12/13,2.48
2016/12/14,2.54
2016/12/15,2.6
2016/12/16,2.6
2016/12/19,2.54
2016/12/20,2.57
2016/12/21,2.55
2016/12/22,2.55
2016/12/23,2.55
2016/12/26,NA
2016/12/27,2.57
2016/12/28,2.51
2016/12/29,2.49
2016/12/30,2.45
2017/1/2,NA
2017/1/3,2.45
2017/1/4,2.46
2017/1/5,2.37
2017/1/6,2.42
2017/1/9,2.38
2017/1/10,2.38
2017/1/11,2.38
2017/1/12,2.36
2017/1/13,2.4
2017/1/16,NA
2017/1/17,2.33
2017/1/18,2.42
2017/1/19,2.47
2017/1/20,2.48
2017/1/23,2.41
2017/1/24,2.47
2017/1/25,2.53
2017/1/26,2.51
2017/1/27,2.49
2017/1/30,2.49
2017/1/31,2.45
2017/2/1,2.48
2017/2/2,2.48
2017/2/3,2.49
2017/2/6,2.42
2017/2/7,2.4
2017/2/8,2.34
2017/2/9,2.4
2017/2/10,2.41
2017/2/13,2.43
2017/2/14,2.47
2017/2/15,2.51
2017/2/16,2.45
2017/2/17,2.42
2017/2/20,NA
2017/2/21,2.43
2017/2/22,2.42
2017/2/23,2.38
2017/2/24,2.31
2017/2/27,2.36
2017/2/28,2.36
2017/3/1,2.46
2017/3/2,2.49
2017/3/3,2.49
2017/3/6,2.49
2017/3/7,2.52
2017/3/8,2.57
2017/3/9,2.6
2017/3/10,2.58
2017/3/13,2.62
2017/3/14,2.6
2017/3/15,2.51
2017/3/16,2.53
2017/3/17,2.5
2017/3/20,2.47
2017/3/21,2.43
2017/3/22,2.4
2017/3/23,2.41
2017/3/24,2.4
2017/3/27,2.38
2017/3/28,2.42
2017/3/29,2.39
2017/3/30,2.42
2017/3/31,2.4
2017/4/3,2.35
2017/4/4,2.36
2017/4/5,2.34
2017/4/6,2.34
2017/4/7,2.38
2017/4/10,2.37
2017/4/11,2.32
2017/4/12,2.28
2017/4/13,2.24
2017/4/14,NA
2017/4/17,2.26
2017/4/18,2.18
2017/4/19,2.21
2017/4/20,2.24
2017/4/21,2.24
2017/4/24,2.28
2017/4/25,2.35
2017/4/26,2.32
2017/4/27,2.3
2017/4/28,2.29
2017/5/1,2.33
2017/5/2,2.29
2017/5/3,2.33
2017/5/4,2.36
2017/5/5,2.36
2017/5/8,2.39
2017/5/9,2.42
2017/5/10,2.41
2017/5/11,2.39
2017/5/12,2.33
2017/5/15,2.34
2017/5/16,2.33
2017/5/17,2.22
2017/5/18,2.23
2017/5/19,2.23
2017/5/22,2.25
2017/5/23,2.29
2017/5/24,2.26
2017/5/25,2.25
2017/5/26,2.25
2017/5/29,NA
2017/5/30,2.21
2017/5/31,2.21
2017/6/1,2.21
2017/6/2,2.15
2017/6/5,2.18
2017/6/6,2.14
2017/6/7,2.18
2017/6/8,2.19
2017/6/9,2.21
2017/6/12,2.21
2017/6/13,2.21
2017/6/14,2.15
2017/6/15,2.16
2017/6/16,2.16
2017/6/19,2.19
2017/6/20,2.16
2017/6/21,2.16
2017/6/22,2.15
2017/6/23,2.15
2017/6/26,2.14
2017/6/27,2.21
